date,dr007
2026-01-04,1.42
2026-01-05,1.41
2026-01-06,1.4
2026-01-07,1.45
2026-01-08,1.47
2026-01-09,1.47
2026-01-12,1.48
2026-01-13,1.53
2026-01-14,1.55
2026-01-15,1.49
2026-01-16,1.42
2026-01-19,1.48
2026-01-20,1.49
2026-01-21,1.49
2026-01-22,1.5
2026-01-23,1.49
2026-01-26,1.56
2026-01-27,1.58
2026-01-28,1.59
2026-01-29,1.58
2026-01-30,1.6
2026-02-02,1.49
2026-02-03,1.5
2026-02-04,1.5
2026-02-05,1.5
2026-02-06,1.48
2026-02-09,1.55
2026-02-10,1.5236
2026-02-11,1.5051
2026-02-12,1.5053
2026-02-13,1.47
2026-02-14,1.45
