date,injection_yi,maturity_yi,net_yi
2025-12-01,1076.0,3387.0,-2311.0
2025-12-02,1563.0,3021.0,-1458.0
2025-12-03,793.0,2133.0,-1340.0
2025-12-04,1808.0,3564.0,-1756.0
2025-12-05,1398.0,3013.0,-1615.0
2025-12-08,1223.0,1076.0,147.0
2025-12-09,1173.0,1563.0,-390.0
2025-12-10,1898.0,793.0,1105.0
2025-12-11,1186.0,1808.0,-622.0
2025-12-12,1205.0,1398.0,-193.0
2025-12-15,1309.0,1223.0,86.0
2025-12-16,1353.0,1173.0,180.0
2025-12-17,468.0,1898.0,-1430.0
2025-12-18,883.0,1186.0,-303.0
2025-12-19,562.0,1205.0,-643.0
2025-12-22,673.0,1309.0,-636.0
2025-12-23,593.0,1353.0,-760.0
2025-12-24,260.0,468.0,-208.0
2025-12-25,1771.0,883.0,888.0
2025-12-26,930.0,562.0,368.0
2025-12-29,4823.0,673.0,4150.0
2025-12-30,3125.0,593.0,2532.0
2025-12-31,5288.0,260.0,5028.0
2026-01-05,135.0,7524.0,-7389.0
2026-01-06,162.0,3125.0,-2963.0
2026-01-07,286.0,5288.0,-5002.0
2026-01-08,99.0,0.0,99.0
2026-01-09,340.0,0.0,340.0
2026-01-12,861.0,500.0,361.0
2026-01-13,3586.0,162.0,3424.0
2026-01-14,2408.0,286.0,2122.0
2026-01-15,1793.0,99.0,1694.0
2026-01-16,867.0,340.0,527.0
2026-01-19,1583.0,861.0,722.0
2026-01-20,3240.0,3586.0,-346.0
2026-01-21,3635.0,2408.0,1227.0
2026-01-22,2102.0,1793.0,309.0
2026-01-23,1250.0,867.0,383.0
2026-01-26,1505.0,1583.0,-78.0
2026-01-27,4020.0,3240.0,780.0
2026-01-28,3775.0,3635.0,140.0
2026-01-29,3540.0,2102.0,1438.0
2026-01-30,4775.0,1250.0,3525.0
